日本語	英語	フランス語	ドイツ語	イタリア語	スペイン語	韓国語	中国語(簡)	中国語(繁)
グソクムシャ	Golisopod	Sarmuraï	Tectass	Golisopod	Golisopod	갑주무사	具甲武者	具甲武者
スナバァ	Sandygast	Bacabouh	Sankabuh	Sandygast	Sandygast	모래꿍	沙丘娃	沙丘娃
シロデスナ	Palossand	Trépassable	Colossand	Palossand	Palossand	모래성이당	噬沙堡爷	噬沙堡爺
ナマコブシ	Pyukumuku	Concombaffe	Gufa	Pyukumuku	Pyukumuku	해무기	拳海参	拳海參
タイプ:ヌル	Type: Null	Type:0	Typ:Null	Type: Null	Type: Null	타입:널	属性：空	屬性：空
シルヴァディ	Silvally	Silvallié	Amigento	Silvally	Silvally	실버디	银伴战兽	銀伴戰獸
メテノ	Minior	Météno	Meteno	Minior	Minior	메테노	小陨星	小隕星
ネッコアラ	Komala	Dodoala	Koalelu	Komala	Komala	자말라	树枕尾熊	樹枕尾熊
バクガメス	Turtonator	Boumata	Tortunator	Turtonator	Turtonator	폭거북스	爆焰龟兽	爆焰龜獸
トゲデマル	Togedemaru	Togedemaru	Togedemaru	Togedemaru	Togedemaru	토게데마루	托戈德玛尔	托戈德瑪爾
ミミッキュ	Mimikyu	Mimiqui	Mimigma	Mimikyu	Mimikyu	따라큐	谜拟丘	謎擬Ｑ
ハギギシリ	Bruxish	Denticrisse	Knirfish	Bruxish	Bruxish	치갈기	磨牙彩皮鱼	磨牙彩皮魚
ジジーロン	Drampa	Draïeul	Sen-Long	Drampa	Drampa	할비롱	老翁龙	老翁龍
ダダリン	Dhelmise	Sinistrail	Moruda	Dhelmise	Dhelmise	타타륜	破破舵轮	破破舵輪
ジャラコ	Jangmo-o	Bébécaille	Miniras	Jangmo-o	Jangmo-o	짜랑꼬	心鳞宝	心鱗寶
ジャランゴ	Hakamo-o	Écaïd	Mediras	Hakamo-o	Hakamo-o	짜랑고우	鳞甲龙	鱗甲龍
ジャラランガ	Kommo-o	Ékaïser	Grandiras	Kommo-o	Kommo-o	짜랑고우거	杖尾鳞甲龙	杖尾鱗甲龍
カプ・コケコ	Tapu Koko	Tokorico	Kapu-Riki	Tapu Koko	Tapu Koko	카푸꼬꼬꼭	卡璞・鸣鸣	卡璞・鳴鳴
カプ・テテフ	Tapu Lele	Tokopiyon	Kapu-Fala	Tapu Lele	Tapu Lele	카푸나비나	卡璞・蝶蝶	卡璞・蝶蝶
カプ・ブルル	Tapu Bulu	Tokotoro	Kapu-Toro	Tapu Bulu	Tapu Bulu	카푸브루루	卡璞・哞哞	卡璞・哞哞
カプ・レヒレ	Tapu Fini	Tokopisco	Kapu-Kime	Tapu Fini	Tapu Fini	카푸느지느	卡璞・鳍鳍	卡璞・鰭鰭
コスモッグ	Cosmog	Cosmog	Cosmog	Cosmog	Cosmog	코스모그	科斯莫古	科斯莫古
コスモウム	Cosmoem	Cosmovum	Cosmovum	Cosmoem	Cosmoem	코스모움	科斯莫姆	科斯莫姆
ソルガレオ	Solgaleo	Solgaleo	Solgaleo	Solgaleo	Solgaleo	솔가레오	索尔迦雷欧	索爾迦雷歐
ルナアーラ	Lunala	Lunala	Lunala	Lunala	Lunala	루나아라	露奈雅拉	露奈雅拉
ウツロイド	Nihilego	Zéroïd	Anego	Nihilego	Nihilego	텅비드	虚吾伊德	虛吾伊德
マッシブーン	Buzzwole	Mouscoto	Masskito	Buzzwole	Buzzwole	매시붕	爆肌蚊	爆肌蚊
フェローチェ	Pheromosa	Cancrelove	Schabelle	Pheromosa	Pheromosa	페로코체	费洛美螂	費洛美螂
デンジュモク	Xurkitree	Câblifère	Voltriant	Xurkitree	Xurkitree	전수목	电束木	電束木
テッカグヤ	Celesteela	Bamboiselle	Kaguron	Celesteela	Celesteela	철화구야	铁火辉夜	鐵火輝夜
カミツルギ	Kartana	Katagami	Katagami	Kartana	Kartana	종이신도	纸御剑	紙御劍
アクジキング	Guzzlord	Engloutyran	Schlingking	Guzzlord	Guzzlord	악식킹	恶食大王	惡食大王
ネクロズマ	Necrozma	Necrozma	Necrozma	Necrozma	Necrozma	네크로즈마	奈克洛兹玛	奈克洛茲瑪
マギアナ	Magearna	Magearna	Magearna	Magearna	Magearna	마기아나	玛机雅娜	瑪機雅娜
マーシャドー	Marshadow	Marshadow	Marshadow	Marshadow	Marshadow	마샤도	玛夏多	瑪夏多
ベベノム	Poipole	Vémini	Venicro	Poipole	Poipole	베베놈	毒贝比	毒貝比
アーゴヨン	Naganadel	Mandrillon	Agoyon	Naganadel	Naganadel	아고용	四颚针龙	四顎針龍
ツンデツンデ	Stakataka	Ama-Ama	Muramura	Stakataka	Stakataka	차곡차곡	垒磊石	壘磊石
ズガドーン	Blacephalon	Pierroteknik	Kopplosio	Blacephalon	Blacephalon	두파팡	砰头小丑	砰頭小丑
ゼラオラ	Zeraora	Zeraora	Zeraora	Zeraora	Zeraora	제라오라	捷拉奥拉	捷拉奧拉
メルタン	Meltan	Meltan	Meltan	Meltan	Meltan	멜탄	美录坦	美錄坦
メルメタル	Melmetal	Melmetal	Melmetal	Melmetal	Melmetal	멜메탈	美录梅塔	美錄梅塔
サルノリ	Grookey	Ouistempo	Chimpep	Grookey	Grookey	흥나숭	敲音猴	敲音猴
バチンキー	Thwackey	Badabouin	Chimstix	Thwackey	Thwackey	채키몽	啪咚猴	啪咚猴
ゴリランダー	Rillaboom	Gorythmic	Gortrom	Rillaboom	Rillaboom	고릴타	轰擂金刚猩	轟擂金剛猩
ヒバニー	Scorbunny	Flambino	Hopplo	Scorbunny	Scorbunny	염버니	炎兔儿	炎兔兒
ラビフット	Raboot	Lapyro	Kickerlo	Raboot	Raboot	래비풋	腾蹴小将	騰蹴小將
エースバーン	Cinderace	Pyrobut	Liberlo	Cinderace	Cinderace	에이스번	闪焰王牌	閃焰王牌
メッソン	Sobble	Larméléon	Memmeon	Sobble	Sobble	울머기	泪眼蜥	淚眼蜥
ジメレオン	Drizzile	Arrozard	Phlegleon	Drizzile	Drizzile	누겔레온	变涩蜥	變澀蜥
インテレオン	Inteleon	Lézargus	Intelleon	Inteleon	Inteleon	인텔리레온	千面避役	千面避役
ホシガリス	Skwovet	Rongourmand	Raffel	Skwovet	Skwovet	탐리스	贪心栗鼠	貪心栗鼠
ヨクバリス	Greedent	Rongrigou	Schlaraffel	Greedent	Greedent	요씽리스	藏饱栗鼠	藏飽栗鼠
ココガラ	Rookidee	Minisange	Meikro	Rookidee	Rookidee	파라꼬	稚山雀	稚山雀
アオガラス	Corvisquire	Bleuseille	Kranoviz	Corvisquire	Corvisquire	파크로우	蓝鸦	藍鴉
アーマーガア	Corviknight	Corvaillus	Krarmor	Corviknight	Corviknight	아머까오	钢铠鸦	鋼鎧鴉
サッチムシ	Blipbug	Larvadar	Sensect	Blipbug	Blipbug	두루지벌레	索侦虫	索偵蟲
レドームシ	Dottler	Coléodôme	Keradar	Dottler	Dottler	레돔벌레	天罩虫	天罩蟲
イオルブ	Orbeetle	Astronelle	Maritellit	Orbeetle	Orbeetle	이올브	以欧路普	以歐路普
クスネ	Nickit	Goupilou	Kleptifux	Nickit	Nickit	훔처우	狡小狐	偷兒狐
フォクスライ	Thievul	Roublenard	Gaunux	Thievul	Thievul	폭슬라이	猾大狐	狐大盜
ヒメンカ	Gossifleur	Tournicoton	Cottini	Gossifleur	Gossifleur	꼬모카	幼棉棉	幼棉棉
ワタシラガ	Eldegoss	Blancoton	Cottomi	Eldegoss	Eldegoss	백솜모카	白蓬蓬	白蓬蓬
ウールー	Wooloo	Moumouton	Wolly	Wooloo	Wooloo	우르	毛辫羊	毛辮羊
バイウールー	Dubwool	Moumouflon	Zwollock	Dubwool	Dubwool	배우르	毛毛角羊	毛毛角羊
カムカメ	Chewtle	Khélocrok	Kamehaps	Chewtle	Chewtle	깨물부기	咬咬龟	咬咬龜
カジリガメ	Drednaw	Torgamord	Kamalm	Drednaw	Drednaw	갈가부기	暴噬龟	暴噬龜
ワンパチ	Yamper	Voltoutou	Voldi	Yamper	Yamper	멍파치	来电汪	來電汪
パルスワン	Boltund	Fulgudog	Bellektro	Boltund	Boltund	펄스멍	逐电犬	逐電犬
タンドン	Rolycoly	Charbi	Klonkett	Rolycoly	Rolycoly	탄동	小炭仔	小炭仔
トロッゴン	Carkol	Wagomine	Wagong	Carkol	Carkol	탄차곤	大炭车	大炭車
セキタンザン	Coalossal	Monthracite	Montecarbo	Coalossal	Coalossal	석탄산	巨炭山	巨炭山
カジッチュ	Applin	Verpom	Knapfel	Applin	Applin	과사삭벌레	啃果虫	啃果蟲
アップリュー	Flapple	Pomdrapi	Drapfel	Flapple	Flapple	애프룡	苹裹龙	蘋裹龍
タルップル	Appletun	Dratatin	Schlapfel	Appletun	Appletun	단지래플	丰蜜龙	豐蜜龍
スナヘビ	Silicobra	Dunaja	Salanga	Silicobra	Silicobra	모래뱀	沙包蛇	沙包蛇
サダイジャ	Sandaconda	Dunaconda	Sanaconda	Sandaconda	Sandaconda	사다이사	沙螺蟒	沙螺蟒
ウッウ	Cramorant	Nigosier	Urgl	Cramorant	Cramorant	윽우지	古月鸟	古月鳥
サシカマス	Arrokuda	Embrochet	Pikuda	Arrokuda	Arrokuda	찌로꼬치	刺梭鱼	刺梭魚
カマスジョー	Barraskewda	Hastacuda	Barrakiefa	Barraskewda	Barraskewda	꼬치조	戽斗尖梭	戽斗尖梭
エレズン	Toxel	Toxizap	Toxel	Toxel	Toxel	일레즌	电音婴	毒電嬰
ストリンダー	Toxtricity	Salarsen	Riffex	Toxtricity	Toxtricity	스트린더	颤弦蝾螈	顫弦蠑螈
ヤクデ	Sizzlipede	Grillepattes	Thermopod	Sizzlipede	Sizzlipede	태우지네	烧火蚣	燒火蚣
マルヤクデ	Centiskorch	Scolocendre	Infernopod	Centiskorch	Centiskorch	다태우지네	焚焰蚣	焚焰蚣
タタッコ	Clobbopus	Poulpaf	Klopptopus	Clobbopus	Clobbopus	때때무노	拳拳蛸	拳拳蛸
オトスパス	Grapploct	Krakos	Kaocto	Grapploct	Grapploct	케오퍼스	八爪武师	八爪武師
ヤバチャ	Sinistea	Théffroi	Fatalitee	Sinistea	Sinistea	데인차	来悲茶	來悲茶
ポットデス	Polteageist	Polthégeist	Mortipot	Polteageist	Polteageist	포트데스	怖思壶	怖思壺
ミブリム	Hatenna	Bibichut	Brimova	Hatenna	Hatenna	몸지브림	迷布莉姆	迷布莉姆
テブリム	Hattrem	Chapotus	Brimano	Hattrem	Hattrem	손지브림	提布莉姆	提布莉姆
ブリムオン	Hatterene	Sorcilence	Silembrim	Hatterene	Hatterene	브리무음	布莉姆温	布莉姆溫
ベロバー	Impidimp	Grimalin	Bähmon	Impidimp	Impidimp	메롱꿍	捣蛋小妖	搗蛋小妖
ギモー	Morgrem	Fourbelin	Pelzebub	Morgrem	Morgrem	쏘겨모	诈唬魔	詐唬魔
オーロンゲ	Grimmsnarl	Angoliath	Olangaar	Grimmsnarl	Grimmsnarl	오롱털	长毛巨魔	長毛巨魔
タチフサグマ	Obstagoon	Ixon	Barrikadax	Obstagoon	Obstagoon	가로막구리	堵拦熊	堵攔熊
ニャイキング	Perrserker	Berserkatt	Mauzinger	Perrserker	Perrserker	나이킹	喵头目	喵頭目
サニゴーン	Cursola	Corayôme	Gorgasonn	Cursola	Cursola	산호르곤	魔灵珊瑚	魔靈珊瑚
ネギガナイト	Sirfetch'd	Palarticho	Lauchzelot	Sirfetch'd	Sirfetch'd	창파나이트	葱游兵	蔥遊兵
バリコオル	Mr. Rime	M. Glaquette	Pantifrost	Mr. Rime	Mr. Rime	마임꽁꽁	踏冰人偶	踏冰人偶
デスバーン	Runerigus	Tutétékri	Oghnatoll	Runerigus	Runerigus	데스판	迭失板	死神板
マホミル	Milcery	Crèmy	Hokumil	Milcery	Milcery	마빌크	小仙奶	小仙奶
マホイップ	Alcremie	Charmilly	Pokusan	Alcremie	Alcremie	마휘핑	霜奶仙	霜奶仙
タイレーツ	Falinks	Hexadron	Legios	Falinks	Falinks	대여르	列阵兵	列陣兵
バチンウニ	Pincurchin	Wattapik	Britzigel	Pincurchin	Pincurchin	찌르성게	啪嚓海胆	啪嚓海膽
ユキハミ	Snom	Frissonille	Snomnom	Snom	Snom	누니머기	雪吞虫	雪吞蟲
モスノウ	Frosmoth	Beldeneige	Mottineva	Frosmoth	Frosmoth	모스노우	雪绒蛾	雪絨蛾
イシヘンジン	Stonjourner	Dolman	Humanolith	Stonjourner	Stonjourner	돌헨진	巨石丁	巨石丁
コオリッポ	Eiscue	Bekaglaçon	Kubuin	Eiscue	Eiscue	빙큐보	冰砌鹅	冰砌鵝
イエッサン	Indeedee	Wimessir	Servol	Indeedee	Indeedee	에써르	爱管侍	愛管侍
モルペコ	Morpeko	Morpeko	Morpeko	Morpeko	Morpeko	모르페코	莫鲁贝可	莫魯貝可
ゾウドウ	Cufant	Charibari	Kupfanti	Cufant	Cufant	끼리동	铜象	銅象
ダイオウドウ	Copperajah	Pachyradjah	Patinaraja	Copperajah	Copperajah	대왕끼리동	大王铜象	大王銅象
パッチラゴン	Dracozolt	Galvagon	Lectragon	Dracozolt	Dracozolt	파치래곤	雷鸟龙	雷鳥龍
パッチルドン	Arctozolt	Galvagla	Lecryodon	Arctozolt	Arctozolt	파치르돈	雷鸟海兽	雷鳥海獸
ウオノラゴン	Dracovish	Hydragon	Pescragon	Dracovish	Dracovish	어래곤	鳃鱼龙	鰓魚龍
ウオチルドン	Arctovish	Hydragla	Pescryodon	Arctovish	Arctovish	어치르돈	鳃鱼海兽	鰓魚海獸
ジュラルドン	Duraludon	Duralugon	Duraludon	Duraludon	Duraludon	두랄루돈	铝钢龙	鋁鋼龍
ドラメシヤ	Dreepy	Fantyrm	Grolldra	Dreepy	Dreepy	드라꼰	多龙梅西亚	多龍梅西亞
ドロンチ	Drakloak	Dispareptil	Phandra	Drakloak	Drakloak	드래런치	多龙奇	多龍奇
ドラパルト	Dragapult	Lanssorien	Katapuldra	Dragapult	Dragapult	드래펄트	多龙巴鲁托	多龍巴魯托
ザシアン	Zacian	Zacian	Zacian	Zacian	Zacian	자시안	苍响	蒼響
ザマゼンタ	Zamazenta	Zamazenta	Zamazenta	Zamazenta	Zamazenta	자마젠타	藏玛然特	藏瑪然特
ムゲンダイナ	Eternatus	Éthernatos	Endynalos	Eternatus	Eternatus	무한다이노	无极汰那	無極汰那
ダクマ	Kubfu	Wushours	Dakuma	Kubfu	Kubfu	치고마	熊徒弟	熊徒弟
ウーラオス	Urshifu	Shifours	Wulaosu	Urshifu	Urshifu	우라오스	武道熊师	武道熊師
ザルード	Zarude	Zarude	Zarude	Zarude	Zarude	자루도	萨戮德	薩戮德
レジエレキ	Regieleki	Regieleki	Regieleki	Regieleki	Regieleki	레지에레키	雷吉艾勒奇	雷吉艾勒奇
レジドラゴ	Regidrago	Regidrago	Regidrago	Regidrago	Regidrago	레지드래고	雷吉铎拉戈	雷吉鐸拉戈
ブリザポス	Glastrier	Blizzeval	Polaross	Glastrier	Glastrier	블리자포스	雪暴马	雪暴馬
レイスポス	Spectrier	Spectreval	Phantoross	Spectrier	Spectrier	레이스포스	灵幽马	靈幽馬
バドレックス	Calyrex	Sylveroy	Coronospa	Calyrex	Calyrex	버드렉스	蕾冠王	蕾冠王
アヤシシ	Wyrdeer	Cerbyllin	Damythir	Wyrdeer	Wyrdeer	신비록	诡角鹿	詭角鹿
バサギリ	Kleavor	Hachécateur	Axantor	Kleavor	Kleavor	사마자르	劈斧螳螂	劈斧螳螂
ガチグマ	Ursaluna	Ursaking	Ursaluna	Ursaluna	Ursaluna	다투곰	月月熊	月月熊
イダイトウ	Basculegion	Paragruel	Salmagnis	Basculegion	Basculegion	대쓰여너	幽尾玄鱼	幽尾玄魚
オオニューラ	Sneasler	Farfurex	Snieboss	Sneasler	Sneasler	포푸니크	大狃拉	大狃拉
ハリーマン	Overqwil	Qwilpik	Myriador	Overqwil	Overqwil	장침바루	万针鱼	萬針魚
ラブトロス	Enamorus	Amovénus	Cupidos	Enamorus	Enamorus	러브로스	眷恋云	眷戀雲
ニャオハ	Sprigatito	Poussacha	Felori	Sprigatito	Sprigatito	나오하	新叶喵	新葉喵
ニャローテ	Floragato	Matourgeon	Feliospa	Floragato	Floragato	나로테	蒂蕾喵	蒂蕾喵
マスカーニャ	Meowscarada	Miascarade	Maskagato	Meowscarada	Meowscarada	마스카나	魔幻假面喵	魔幻假面喵
ホゲータ	Fuecoco	Chochodile	Krokel	Fuecoco	Fuecoco	뜨아거	呆火鳄	呆火鱷
アチゲータ	Crocalor	Crocogril	Lokroko	Crocalor	Crocalor	악뜨거	炙烫鳄	炙燙鱷
ラウドボーン	Skeledirge	Flâmigator	Skelokrok	Skeledirge	Skeledirge	라우드본	骨纹惊声鳄	骨紋驚聲鱷
クワッス	Quaxly	Coiffeton	Kwaks	Quaxly	Quaxly	꾸왁스	润水鸭	潤水鴨
ウェルカモ	Quaxwell	Canarbello	Fuentente	Quaxwell	Quaxwell	아꾸왁	涌跃鸭	湧躍鴨
ウェーニバル	Quaquaval	Palmaval	Bailonda	Quaquaval	Quaquaval	웨이니발	狂欢浪舞鸭	狂歡浪舞鴨
グルトン	Lechonk	Gourmelet	Ferkuli	Lechonk	Lechonk	맛보돈	爱吃豚	愛吃豚
パフュートン	Oinkologne	Fragroin	Fragrunz	Oinkologne	Oinkologne	퍼퓨돈	飘香豚	飄香豚
タマンチュラ	Tarountula	Tissenboule	Tarundel	Tarountula	Tarountula	타랜툴라	团珠蛛	團珠蛛
ワナイダー	Spidops	Filentrappe	Spinsidias	Spidops	Spidops	트래피더	操陷蛛	操陷蛛
マメバッタ	Nymble	Lilliterelle	Micrick	Nymble	Nymble	콩알뚜기	豆蟋蟀	豆蟋蟀
エクスレッグ	Lokix	Gambex	Lextremo	Lokix	Lokix	엑스레그	烈腿蝗	烈腿蝗
パモ	Pawmi	Pohm	Pamo	Pawmi	Pawmi	빠모	布拨	布撥
パモット	Pawmo	Pohmotte	Pamamo	Pawmo	Pawmo	빠모트	布土拨	布土撥
パーモット	Pawmot	Pohmarmotte	Pamomamo	Pawmot	Pawmot	빠르모트	巴布土拨	巴布土撥
ワッカネズミ	Tandemaus	Compagnol	Zwieps	Tandemaus	Tandemaus	두리쥐	一对鼠	一對鼠
イッカネズミ	Maushold	Famignol	Famieps	Maushold	Maushold	파밀리쥐	一家鼠	一家鼠
パピモッチ	Fidough	Pâtachiot	Hefel	Fidough	Fidough	쫀도기	狗仔包	狗仔包
バウッツェル	Dachsbun	Briochien	Backel	Dachsbun	Dachsbun	바우첼	麻花犬	麻花犬
ミニーブ	Smoliv	Olivini	Olini	Smoliv	Smoliv	미니브	迷你芙	迷你芙
オリーニョ	Dolliv	Olivado	Olivinio	Dolliv	Dolliv	올리뇨	奥利纽	奧利紐
オリーヴァ	Arboliva	Arboliva	Olithena	Arboliva	Arboliva	올리르바	奥利瓦	奧利瓦
イキリンコ	Squawkabilly	Tapatoès	Krawalloro	Squawkabilly	Squawkabilly	시비꼬	怒鹦哥	怒鸚哥
コジオ	Nacli	Selutin	Geosali	Nacli	Nacli	베베솔트	盐石宝	鹽石寶
ジオヅム	Naclstack	Amassel	Sedisal	Naclstack	Naclstack	스태솔트	盐石垒	鹽石壘
キョジオーン	Garganacl	Gigansel	Saltigant	Garganacl	Garganacl	콜로솔트	盐石巨灵	鹽石巨靈
カルボウ	Charcadet	Charbambin	Knarbon	Charcadet	Charcadet	카르본	炭小侍	炭小侍
グレンアルマ	Armarouge	Carmadura	Crimanzo	Armarouge	Armarouge	카디나르마	红莲铠骑	紅蓮鎧騎
ソウブレイズ	Ceruledge	Malvalame	Azugladis	Ceruledge	Ceruledge	파라블레이즈	苍炎刃鬼	蒼炎刃鬼
ズピカ	Tadbulb	Têtampoule	Blipp	Tadbulb	Tadbulb	빈나두	光蚪仔	光蚪仔
ハラバリー	Bellibolt	Ampibidou	Wampitz	Bellibolt	Bellibolt	찌리배리	电肚蛙	電肚蛙
カイデン	Wattrel	Zapétrel	Voltrel	Wattrel	Wattrel	찌리비	电海燕	電海燕
タイカイデン	Kilowattrel	Fulgulairo	Voltrean	Kilowattrel	Kilowattrel	찌리비크	大电海燕	大電海燕
オラチフ	Maschiff	Grondogue	Mobtiff	Maschiff	Maschiff	오라티프	偶叫獒	偶叫獒
マフィティフ	Mabosstiff	Dogrino	Mastifioso	Mabosstiff	Mabosstiff	마피티프	獒教父	獒教父
シルシュルー	Shroodle	Gribouraigne	Sproxi	Shroodle	Shroodle	땃쭈르	滋汁鼹	滋汁鼴
タギングル	Grafaiai	Tag-Tag	Affiti	Grafaiai	Grafaiai	태깅구르	涂标客	塗標客
アノクサ	Bramblin	Virovent	Weherba	Bramblin	Bramblin	그푸리	纳噬草	納噬草
アノホラグサ	Brambleghast	Virevorreur	Horrerba	Brambleghast	Brambleghast	공푸리	怖纳噬草	怖納噬草
ノノクラゲ	Toedscool	Terracool	Tentagra	Toedscool	Toedscool	들눈해	原野水母	原野水母
リククラゲ	Toedscruel	Terracruel	Tenterra	Toedscruel	Toedscruel	육파리	陆地水母	陸地水母
ガケガニ	Klawf	Craparoi	Klibbe	Klawf	Klawf	절벼게	毛崖蟹	毛崖蟹
カプサイジ	Capsakid	Pimito	Chilingel	Capsakid	Capsakid	캡싸이	热辣娃	熱辣娃
スコヴィラン	Scovillain	Scovilain	Halupenjo	Scovillain	Scovillain	스코빌런	狠辣椒	狠辣椒
シガロコ	Rellor	Léboulérou	Relluk	Rellor	Rellor	구르데	虫滚泥	蟲滾泥
ベラカス	Rabsca	Bérasca	Skarabaks	Rabsca	Rabsca	베라카스	虫甲圣	蟲甲聖
ヒラヒナ	Flittle	Flotillon	Flattutu	Flittle	Flittle	하느라기	飘飘雏	飄飄雛
クエスパトラ	Espathra	Cléopsytra	Psiopatra	Espathra	Espathra	클레스퍼트라	超能艳鸵	超能豔鴕
カヌチャン	Tinkatink	Forgerette	Forgita	Tinkatink	Tinkatink	어리짱	小锻匠	小鍛匠
ナカヌチャン	Tinkatuff	Forgella	Tafforgita	Tinkatuff	Tinkatuff	벼리짱	巧锻匠	巧鍛匠
デカヌチャン	Tinkaton	Forgelina	Granforgita	Tinkaton	Tinkaton	두드리짱	巨锻匠	巨鍛匠
ウミディグダ	Wiglett	Taupikeau	Schligda	Wiglett	Wiglett	바다그다	海地鼠	海地鼠
ウミトリオ	Wugtrio	Triopikeau	Schligdri	Wugtrio	Wugtrio	바닥트리오	三海地鼠	三海地鼠
オトシドリ	Bombirdier	Lestombaile	Adebom	Bombirdier	Bombirdier	떨구새	下石鸟	下石鳥
ナミイルカ	Finizen	Dofin	Normifin	Finizen	Finizen	맨돌핀	波普海豚	波普海豚
イルカマン	Palafin	Superdofin	Delfinator	Palafin	Palafin	돌핀맨	海豚侠	海豚俠
ブロロン	Varoom	Vrombi	Knattox	Varoom	Varoom	부르롱	噗隆隆	噗隆隆
ブロロローム	Revavroom	Vrombotor	Knattatox	Revavroom	Revavroom	부르르룸	普隆隆姆	普隆隆姆
モトトカゲ	Cyclizar	Motorizard	Mopex	Cyclizar	Cyclizar	모토마	摩托蜥	摩托蜥
ミミズズ	Orthworm	Ferdeter	Schlurm	Orthworm	Orthworm	꿈트렁	拖拖蚓	拖拖蚓
キラーメ	Glimmet	Germéclat	Lumispross	Glimmet	Glimmet	초롱순	晶光芽	晶光芽
キラフロル	Glimmora	Floréclat	Lumiflora	Glimmora	Glimmora	킬라플로르	晶光花	晶光花
ボチ	Greavard	Toutombe	Gruff	Greavard	Greavard	망망이	墓仔狗	墓仔狗
ハカドッグ	Houndstone	Tomberro	Friedwuff	Houndstone	Houndstone	묘두기	墓扬犬	墓揚犬
カラミンゴ	Flamigo	Flamenroule	Flaminkno	Flamigo	Flamigo	꼬이밍고	缠红鹤	纏紅鶴
アルクジラ	Cetoddle	Piétacé	Flaniwal	Cetoddle	Cetoddle	터벅고래	走鲸	走鯨
ハルクジラ	Cetitan	Balbalèze	Kolowal	Cetitan	Cetitan	우락고래	浩大鲸	浩大鯨
ミガルーサ	Veluza	Délestin	Agiluza	Veluza	Veluza	가비루사	轻身鳕	輕身鱈
ヘイラッシャ	Dondozo	Oyacata	Heerashai	Dondozo	Dondozo	어써러셔	吃吼霸	吃吼霸
シャリタツ	Tatsugiri	Nigirigon	Nigiragi	Tatsugiri	Tatsugiri	싸리용	米立龙	米立龍
コノヨザル	Annihilape	Courrousinge	Epitaff	Annihilape	Annihilape	저승갓숭	弃世猴	棄世猴
ドオー	Clodsire	Terraiste	Suelord	Clodsire	Clodsire	토오	土王	土王
リキキリン	Farigiraf	Farigiraf	Farigiraf	Farigiraf	Farigiraf	키키링	奇麒麟	奇麒麟
ノココッチ	Dudunsparce	Deusolourdo	Dummimisel	Dudunsparce	Dudunsparce	노고고치	土龙节节	土龍節節
ドドゲザン	Kingambit	Scalpereur	Gladimperio	Kingambit	Kingambit	대도각참	仆刀将军	仆斬將軍
イダイナキバ	Great Tusk	Fort-Ivoire	Riesenzahn	Great Tusk	Great Tusk	위대한엄니	雄伟牙	雄偉牙
サケブシッポ	Scream Tail	Hurle-Queue	Brüllschweif	Scream Tail	Scream Tail	우렁찬꼬리	吼叫尾	吼叫尾
アラブルタケ	Brute Bonnet	Fongus-Furie	Wutpilz	Brute Bonnet	Brute Bonnet	사나운버섯	猛恶菇	猛惡菇
ハバタクカミ	Flutter Mane	Flotte-Mèche	Flatterhaar	Flutter Mane	Flutter Mane	날개치는머리	振翼发	振翼髮
チヲハウハネ	Slither Wing	Rampe-Ailes	Kriechflügel	Slither Wing	Slither Wing	땅을기는날개	爬地翅	爬地翅
スナノケガワ	Sandy Shocks	Pelage-Sablé	Sandfell	Sandy Shocks	Sandy Shocks	모래털가죽	沙铁皮	沙鐵皮
テツノワダチ	Iron Treads	Roue-de-Fer	Eisenrad	Iron Treads	Iron Treads	무쇠바퀴	铁辙迹	鐵轍跡
テツノツツミ	Iron Bundle	Hotte-de-Fer	Eisenbündel	Iron Bundle	Iron Bundle	무쇠보따리	铁包袱	鐵包袱
テツノカイナ	Iron Hands	Paume-de-Fer	Eisenhand	Iron Hands	Iron Hands	무쇠손	铁臂膀	鐵臂膀
テツノコウベ	Iron Jugulis	Têtes-de-Fer	Eisenhals	Iron Jugulis	Iron Jugulis	무쇠머리	铁脖颈	鐵脖頸
テツノドクガ	Iron Moth	Mite-de-Fer	Eisenfalter	Iron Moth	Iron Moth	무쇠독나방	铁毒蛾	鐵毒蛾
テツノイバラ	Iron Thorns	Épine-de-Fer	Eisendorn	Iron Thorns	Iron Thorns	무쇠가시	铁荆棘	鐵荊棘
セビエ	Frigibax	Frigodo	Frospino	Frigibax	Frigibax	드니차	凉脊龙	涼脊龍
セゴール	Arctibax	Cryodo	Cryospino	Arctibax	Arctibax	드니꽁	冻脊龙	凍脊龍
セグレイブ	Baxcalibur	Glaivodo	Espinodon	Baxcalibur	Baxcalibur	드닐레이브	戟脊龙	戟脊龍
コレクレー	Gimmighoul	Mordudor	Gierspenst	Gimmighoul	Gimmighoul	모으령	索财灵	索財靈
サーフゴー	Gholdengo	Gromago	Monetigo	Gholdengo	Gholdengo	타부자고	赛富豪	賽富豪
チオンジェン	Wo-Chien	Chongjian	Chongjian	Wo-Chien	Wo-Chien	총지엔	古简蜗	古簡蝸
パオジアン	Chien-Pao	Baojian	Baojian	Chien-Pao	Chien-Pao	파오젠	古剑豹	古劍豹
ディンルー	Ting-Lu	Dinglu	Dinglu	Ting-Lu	Ting-Lu	딩루	古鼎鹿	古鼎鹿
イーユイ	Chi-Yu	Yuyu	Yuyu	Chi-Yu	Chi-Yu	위유이	古玉鱼	古玉魚
